Player,MP
Dorian Finney-Smith,2009.0
Dorian Finney-Smith,1288.0
Dorian Finney-Smith,721.0
Jordan Clarkson,1988.0
Dennis Schröder,1986.0
Tre Jones,1984.0
Grayson Allen,1972.0
Jonas Valančiūnas,1968.0
Eric Gordon,1965.0
Eric Gordon,1418.0
Eric Gordon,547.0
Kevon Looney,1958.0
Kyle Anderson,1957.0
Marcus Smart,1957.0
LeBron James,1954.0
Herbert Jones,1951.0
Torrey Craig,1948.0
Ja Morant,1948.0
Kelly Olynyk,1942.0
Stephen Curry,1941.0
Tyus Jones,1940.0
Paul George,1939.0
Al Horford,1922.0
P.J. Tucker,1920.0
Jalen McDaniels,1913.0
Jalen McDaniels,1494.0
Jalen McDaniels,419.0
Jakob Poeltl,1906.0
Jakob Poeltl,1199.0
Jakob Poeltl,707.0
Anthony Davis,1904.0
Donte DiVincenzo,1894.0
Bojan Bogdanović,1893.0
Chris Paul,1889.0
Tyrese Haliburton,1883.0
Jarred Vanderbilt,1879.0
Jarred Vanderbilt,1254.0
Jarred Vanderbilt,625.0
Terance Mann,1872.0
Troy Brown Jr.,1860.0
Onyeka Okongwu,1849.0
Austin Reaves,1843.0
Desmond Bane,1841.0
Devin Booker,1835.0
Marcus Morris,1825.0
Myles Turner,1825.0
Bobby Portis,1818.0
Aaron Nesmith,1816.0
Patrick Beverley,1816.0
Patrick Beverley,1211.0
Patrick Beverley,605.0
Jevon Carter,1810.0
Michael Porter Jr.,1798.0
Naji Marshall,1792.0
Jaren Jackson Jr.,1787.0
Shaedon Sharpe,1779.0
Markelle Fultz,1778.0
Tari Eason,1767.0
Gabe Vincent,1759.0
Kawhi Leonard,1748.0
Malcolm Brogdon,1744.0
Christian Wood,1738.0
Coby White,1730.0
Clint Capela,1730.0
Malik Monk,1719.0
Kyle Lowry,1718.0
Nicolas Batum,1709.0
Walker Kessler,1703.0
Monte Morris,1695.0
Wendell Carter Jr.,1690.0
Santi Aldama,1682.0
Bradley Beal,1673.0
Kevin Durant,1672.0
Kevin Durant,1403.0
Kevin Durant,269.0
Jalen Duren,1670.0
Reggie Jackson,1657.0
Reggie Jackson,1338.0
Reggie Jackson,319.0
Isaac Okoro,1652.0
Isaiah Hartenstein,1626.0
Daniel Gafford,1604.0
Mitchell Robinson,1591.0
Drew Eubanks,1584.0
Gordon Hayward,1577.0
Alex Caruso,1575.0
Shake Milton,1567.0
Norman Powell,1567.0
Cole Anthony,1552.0
Malaki Branham,1550.0
Cedi Osman,1548.0
Kelly Oubre Jr.,1548.0
Josh Green,1539.0
Brandon Ingram,1538.0
Josh Richardson,1530.0
Josh Richardson,997.0
Josh Richardson,533.0
Joe Harris,1527.0
T.J. McConnell,1526.0
Chris Boucher,1523.0
Georges Niang,1512.0
Bogdan Bogdanović,1508.0
Damion Lee,1506.0
Bol Bol,1505.0
John Konchar,1494.0
Rui Hachimura,1466.0
Rui Hachimura,728.0
Rui Hachimura,738.0
Dwight Powell,1458.0
Jeremy Sochan,1458.0
Keita Bates-Diop,1452.0
Davion Mitchell,1447.0
Pat Connaughton,1443.0
Zach Collins,1441.0
Isaiah Stewart,1414.0
AJ Griffin,1401.0
Isaiah Joe,1395.0
Jonathan Kuminga,1394.0
Jusuf Nurkić,1391.0
Dennis Smith Jr.,1390.0
Larry Nance Jr.,1381.0
Josh Okogie,1350.0
Devonte' Graham,1338.0
Devonte' Graham,811.0
Devonte' Graham,527.0
Terrence Ross,1330.0
Terrence Ross,944.0
Terrence Ross,386.0
Luke Kennard,1315.0
Luke Kennard,725.0
Luke Kennard,590.0
Doug McDermott,1314.0
Talen Horton-Tucker,1313.0
Jose Alvarado,1310.0
Aaron Wiggins,1297.0
Lonnie Walker IV,1297.0
Sam Hauser,1290.0
Jalen Smith,1279.0
LaMelo Ball,1268.0
David Roddy,1258.0
Jaylen Nowell,1252.0
Naz Reid,1251.0
Trey Lyles,1247.0
Jalen Suggs,1246.0
Kevin Love,1240.0
Kevin Love,821.0
Kevin Love,419.0
Cory Joseph,1227.0
Delon Wright,1221.0
Nick Richards,1217.0
Seth Curry,1211.0
Ochai Agbaji,1209.0
Kenrich Williams,1206.0
Matisse Thybulle,1200.0
Matisse Thybulle,591.0
Matisse Thybulle,609.0
Isaiah Livers,1199.0
Cameron Johnson,1199.0
Cameron Johnson,429.0
Cameron Johnson,770.0
Anthony Lamb,1195.0
Taurean Prince,1192.0
Andrew Wiggins,1190.0
Jordan Nwora,1188.0
Jordan Nwora,597.0
Jordan Nwora,591.0
Gary Harris,1184.0
Tre Mann,1183.0
Trendon Watford,1182.0
Christian Braun,1181.0
Xavier Tillman Sr.,1180.0
Devin Vassell,1178.0
Collin Sexton,1145.0
Precious Achiuwa,1140.0
Steven Adams,1133.0
Alec Burks,1122.0
Lamar Stevens,1120.0
Moritz Wagner,1109.0
Jordan Goodwin,1106.0
Victor Oladipo,1106.0
Ben Simmons,1105.0
Jeff Green,1091.0
Brandon Clarke,1090.0
Bones Hyland,1085.0
Bones Hyland,820.0
Bones Hyland,265.0
Oshae Brissett,1083.0
Thomas Bryant,1081.0
Thomas Bryant,876.0
Thomas Bryant,205.0
Obi Toppin,1050.0
Joe Ingles,1044.0
Jalen Johnson,1042.0
Isaiah Jackson,1042.0
Dyson Daniels,1042.0
Wenyen Gabriel,1024.0
Austin Rivers,1016.0
Hamidou Diallo,996.0
Will Barton,993.0
Will Barton,782.0
Will Barton,211.0
Marvin Bagley III,990.0
Cam Reddish,990.0
Cam Reddish,438.0
Cam Reddish,552.0
Jock Landale,979.0
Nassir Little,976.0
Usman Garuba,970.0
JT Thor,969.0
Haywood Highsmith,969.0
Cameron Payne,968.0
Kendrick Nunn,964.0
Kendrick Nunn,528.0
Kendrick Nunn,436.0
Karl-Anthony Towns,957.0
Zion Williamson,956.0
Kevin Knox,952.0
Kevin Knox,593.0
Kevin Knox,359.0
Cam Thomas,948.0
Mike Muscala,945.0
Mike Muscala,622.0
Mike Muscala,323.0
Maxi Kleber,930.0
Yuta Watanabe,928.0
Ish Wainright,915.0
Daishen Nix,914.0
Jaylin Williams,914.0
Chris Duarte,897.0
Derrick Jones Jr.,893.0
Dean Wade,891.0
Vlatko Čančar,889.0
Nickeil Alexander-Walker,884.0
Nickeil Alexander-Walker,528.0
Nickeil Alexander-Walker,356.0
Bismack Biyombo,874.0
Goran Dragić,870.0
Goran Dragić,787.0
Goran Dragić,83.0
James Wiseman,867.0
James Wiseman,262.0
James Wiseman,605.0
Théo Maledon,854.0
Andre Drummond,849.0
Aaron Holiday,845.0
Romeo Langford,844.0
Terence Davis,841.0
George Hill,834.0
George Hill,668.0
George Hill,166.0
Mark Williams,828.0
Robert Williams,824.0
Wesley Matthews,820.0
Moses Moody,817.0
Rudy Gay,816.0
Ty Jerome,816.0
Jeremiah Robinson-Earl,814.0
Jericho Sims,812.0
Caleb Houstan,812.0
Danuel House Jr.,807.0
Landry Shamet,807.0
Dario Šarić,806.0
Dario Šarić,533.0
Dario Šarić,273.0
Luke Kornet,804.0
Christian Koloko,802.0
Khris Middleton,801.0
JaMychal Green,797.0
Thaddeus Young,795.0
Bryce McGowens,787.0
Josh Christopher,786.0
Robert Covington,779.0
Justise Winslow,776.0
Mo Bamba,769.0
Mo Bamba,681.0
Mo Bamba,88.0
Simone Fontecchio,766.0
Miles McBride,760.0
Paul Reed,755.0
John Wall,755.0
R.J. Hampton,750.0
R.J. Hampton,361.0
R.J. Hampton,389.0
Edmond Sumner,736.0
Zeke Nnaji,728.0
Jaden Hardy,708.0
Justin Holiday,706.0
Justin Holiday,411.0
Justin Holiday,295.0
MarJon Beauchamp,701.0
Aleksej Pokusevski,701.0
Juan Toscano-Anderson,700.0
Juan Toscano-Anderson,365.0
Juan Toscano-Anderson,335.0
Malachi Flynn,691.0
Duncan Robinson,691.0
Chimezie Metu,689.0
T.J. Warren,687.0
T.J. Warren,490.0
T.J. Warren,197.0
Garrison Mathews,686.0
Garrison Mathews,602.0
Garrison Mathews,84.0
Montrezl Harrell,681.0
Jordan McLaughlin,678.0
Jae'Sean Tate,677.0
Blake Wesley,669.0
Sandro Mamukelashvili,660.0
Sandro Mamukelashvili,217.0
Sandro Mamukelashvili,443.0
Eugene Omoruyi,645.0
Eugene Omoruyi,272.0
Eugene Omoruyi,373.0
Payton Pritchard,643.0
Amir Coffey,625.0
Anthony Gill,624.0
Jabari Walker,619.0
Darius Bazley,616.0
Darius Bazley,555.0
Darius Bazley,61.0
Juancho Hernangómez,614.0
Jaxson Hayes,610.0
Frank Ntilikina,607.0
DeAndre Jordan,586.0
Blake Griffin,569.0
Ousmane Dieng,569.0
Kris Dunn,568.0
Patty Mills,567.0
Ricky Rubio,566.0
Ziaire Williams,561.0
Day'Ron Sharpe,552.0
Kai Jones,550.0
Lindy Waters III,531.0
Rodney McGruder,524.0
Chuma Okeke,518.0
James Bouknight,515.0
Max Christie,512.0
Charles Bassey,508.0
Raul Neto,505.0
Dāvis Bertāns,492.0
Taj Gibson,480.0
Javonte Green,480.0
Damian Jones,477.0
Damian Jones,176.0
Damian Jones,301.0
Isaiah Roby,474.0
Stanley Johnson,469.0
Svi Mykhailiuk,468.0
Svi Mykhailiuk,40.0
Svi Mykhailiuk,428.0
Evan Fournier,459.0
Willy Hernangómez,458.0
Kevon Harris,457.0
Goga Bitadze,457.0
Goga Bitadze,202.0
Goga Bitadze,255.0
Admiral Schofield,451.0
TyTy Washington Jr.,433.0
Dewayne Dedmon,426.0
Dewayne Dedmon,350.0
Dewayne Dedmon,76.0
Orlando Robinson,425.0
Johnny Davis,423.0
Keon Johnson,416.0
Jake LaRavia,414.0
Dominick Barlow,408.0
Bruno Fernando,405.0
Bruno Fernando,364.0
Bruno Fernando,41.0
Cade Cunningham,400.0
Ish Smith,398.0
Duane Washington Jr.,394.0
Kessler Edwards,385.0
Kessler Edwards,79.0
Kessler Edwards,306.0
Saben Lee,373.0
Saben Lee,10.0
Saben Lee,363.0
Gary Payton II,367.0
Gary Payton II,255.0
Gary Payton II,112.0
Udoka Azubuike,359.0
Gorgui Dieng,358.0
JaVale McGee,355.0
Markieff Morris,355.0
Markieff Morris,285.0
Markieff Morris,70.0
Furkan Korkmaz,353.0
Richaun Holmes,348.0
A.J. Green,345.0
Davon Reed,342.0
Davon Reed,315.0
Davon Reed,27.0
Jae Crowder,340.0
Derrick Rose,338.0
McKinley Wright IV,335.0
Theo Pinson,323.0
Julian Champagnie,320.0
Julian Champagnie,7.0
Julian Champagnie,313.0
Matt Ryan,310.0
Matt Ryan,129.0
Matt Ryan,181.0
Robin Lopez,299.0
Moses Brown,294.0
Moses Brown,288.0
Moses Brown,6.0
Nathan Knight,291.0
Kennedy Chandler,281.0
Dalano Banton,279.0
Trent Forrest,277.0
Bryn Forbes,268.0
Terry Taylor,264.0
Terry Taylor,228.0
Terry Taylor,36.0
Jeff Dowtin Jr.,259.0
KZ Okpala,248.0
Brandon Boston Jr.,248.0
Luka Garza,243.0
Jamal Cain,240.0
Kira Lewis Jr.,235.0
Frank Kaminsky,235.0
Frank Kaminsky,176.0
Frank Kaminsky,59.0
Johnny Juzang,232.0
David Duke Jr.,228.0
Patrick Baldwin Jr.,226.0
John Butler,221.0
Cody Zeller,217.0
Dalen Terry,214.0
Matthew Dellavedova,213.0
Thanasis Antetokounmpo,206.0
Nikola Jović,204.0
Jared Rhoden,198.0
Moussa Diabaté,195.0
Nerlens Noel,195.0
Nerlens Noel,152.0
Nerlens Noel,43.0
Skylar Mays,189.0
Peyton Watson,186.0
Serge Ibaka,185.0
Kenneth Lofton Jr.,176.0
Mamadi Diakite,176.0
Ryan Arcidiacono,172.0
Ryan Arcidiacono,26.0
Ryan Arcidiacono,146.0
Boban Marjanović,171.0
Noah Vonleh,171.0
Vit Krejci,165.0
Garrett Temple,162.0
Khem Birch,162.0
James Johnson,162.0
Alex Len,161.0
Luka Šamanić,161.0
Dru Smith,158.0
Dru Smith,67.0
Dru Smith,91.0
Wendell Moore Jr.,153.0
Otto Porter Jr.,146.0
Kemba Walker,144.0
Danny Green,138.0
Danny Green,43.0
Danny Green,95.0
Jarrett Culver,137.0
Quenton Jackson,135.0
Cody Martin,134.0
Jeenathan Williams,127.0
Xavier Cooks,126.0
Jason Preston,124.0
Jonathan Isaac,124.0
Shaquille Harrison,120.0
Meyers Leonard,114.0
Olivier Sarr,114.0
Andre Iguodala,113.0
Daniel Theis,109.0
A.J. Lawson,108.0
A.J. Lawson,2.0
A.J. Lawson,106.0
Justin Jackson,107.0
Vince Williams Jr.,105.0
Josh Minott,96.0
Jay Huff,95.0
Greg Brown III,93.0
Joshua Primo,93.0
Buddy Boeheim,90.0
Jaden Springer,89.0
Justin Minaya,89.0
Lindell Wigginton,87.0
Isaiah Mobley,84.0
Jordan Hall,83.0
Omer Yurtseven,83.0
PJ Dozier,79.0
Jared Butler,77.0
Keon Ellis,71.0
Udonis Haslem,71.0
Jamaree Bouyea,71.0
Jamaree Bouyea,65.0
Jamaree Bouyea,6.0
Trevelin Queen,70.0
Leandro Bolmaro,68.0
Jack White,66.0
Tyrese Martin,66.0
JD Davison,66.0
Ryan Rollins,62.0
Isaiah Todd,61.0
Sam Merrill,59.0
Carlik Jones,56.0
Gabe York,56.0
Devon Dotson,53.0
Facundo Campazzo,52.0
Micah Potter,52.0
Joe Wieskamp,50.0
Ron Harper Jr.,48.0
Xavier Sneed,48.0
Michael Carter-Williams,44.0
Cole Swider,41.0
Mac McClung,41.0
Jacob Gilyard,41.0
Kendall Brown,40.0
Jarrell Brantley,39.0
Mfiondu Kabengele,36.0
RaiQuan Gray,35.0
Justin Champagnie,34.0
Justin Champagnie,11.0
Justin Champagnie,23.0
Tony Bradley,33.0
Scotty Pippen Jr.,32.0
Alize Johnson,30.0
Jay Scrubb,30.0
Neemias Queta,29.0
Louis King,29.0
Vernon Carey Jr.,28.0
Trevor Hudgins,28.0
Kobi Simmons,28.0
Darius Days,25.0
Sterling Brown,24.0
Chance Comanche,21.0
Marko Simonovic,20.0
Xavier Moon,20.0
Lester Quiñones,18.0
Dereon Seabron,12.0
Dylan Windler,10.0
Malcolm Hill,9.0
Braxton Key,9.0
Tyler Dorsey,8.0
Trevor Keels,8.0
Chima Moneke,8.0
Deonte Burton,6.0
Jordan Schakel,6.0
Frank Jackson,5.0
Alondes Williams,5.0
Donovan Williams,4.0
Chris Silva,3.0
Stanley Umude,2.0
Michael Foster Jr.,1.0
League Average,
